"Dimensao","Variancia","DesvioPadrao"
2,560.393164369039,23.6726247883297
7,13655140.2712355,3695.28622318156
13,173870210.3344,13185.9853759361
18,5418197732.275,73608.4080270386
24,40597546822.0667,201488.329245311
29,110138097422.35,331870.603432045
35,280315791300.369,529448.572857052
40,483689644533.576,695477.997159922
46,914897738174.754,956502.868879521
51,1277674416748.12,1130342.61033906
57,2008469847630.32,1417204.94200039
62,3492736294631.74,1868886.37820274
68,4077000529024.57,2019158.37145692
73,4537147464681.99,2130058.08950882
79,6553322025307.35,2559945.70749212
84,7861478198583.85,2803832.76936836
90,8872552274883.33,2978682.97656587
95,10035017398973.5,3167809.55850782
101,13402976884338.2,3661007.63237912
106,15669016601877.4,3958410.86824971
112,17349544993956.7,4165278.50136779
117,19455077152845,4410790.98947626
123,21156158565783.7,4599582.43385024
128,23910188019712.2,4889804.49708495
134,26411062522161.1,5139169.43894255
139,27892084706159.4,5281295.74121346
145,31443733578705.6,5607471.22852232
150,31767175401646.6,5636237.699179
