"Dimensao","Repeticao","Configuracao","Fbest"
2,1,"Config1",0
2,1,"Config2",1.10156190391726
2,2,"Config1",0
2,2,"Config2",22.4763237683639
2,3,"Config1",0
2,3,"Config2",0.643860428769347
2,4,"Config1",0
2,4,"Config2",104.505542912428
2,5,"Config1",0
2,5,"Config2",21.7280473108462
2,6,"Config1",0
2,6,"Config2",0.905491940862316
2,7,"Config1",0
2,7,"Config2",3.35666369217773
2,8,"Config1",0
2,8,"Config2",0.200937679632431
2,9,"Config1",0
2,9,"Config2",5.03305703669345
2,10,"Config1",0
2,10,"Config2",0.724838810592555
7,1,"Config1",0.000651413129482678
7,1,"Config2",1048.41438583243
7,2,"Config1",0.0265604776295246
7,2,"Config2",148.428264819207
7,3,"Config1",0.0325647005882693
7,3,"Config2",4011.95920418147
7,4,"Config1",0.000334176759112675
7,4,"Config2",222.295963019337
7,5,"Config1",0.00322941709767073
7,5,"Config2",1224.3729029035
7,6,"Config1",0.0804250136955597
7,6,"Config2",174.050732258359
7,7,"Config1",0.00727513796280644
7,7,"Config2",16178.1051807192
7,8,"Config1",0.590729616238962
7,8,"Config2",477.461638383794
7,9,"Config1",0.0350615868224973
7,9,"Config2",2424.71233214513
7,10,"Config1",0.000890860588866827
7,10,"Config2",4292.37426329113
13,1,"Config1",9.22577161745716
13,1,"Config2",7779.26760273382
13,2,"Config1",10.0165965979314
13,2,"Config2",2413.94320875489
13,3,"Config1",10.2248618936851
13,3,"Config2",11566.0802386392
13,4,"Config1",11.5001592494351
13,4,"Config2",4360.64661817029
13,5,"Config1",10.4226394647905
13,5,"Config2",9356.8229485671
13,6,"Config1",10.5311845046094
13,6,"Config2",58352.9004611513
13,7,"Config1",10.3569832474529
13,7,"Config2",4095.46391585523
13,8,"Config1",8.51498954142171
13,8,"Config2",17897.7586336046
13,9,"Config1",10.6518852180419
13,9,"Config2",5475.85607034967
13,10,"Config1",10.7185494281675
13,10,"Config2",5745.27419117121
18,1,"Config1",21.9930491514646
18,1,"Config2",101966.719990322
18,2,"Config1",39.8416606980142
18,2,"Config2",93353.1304460305
18,3,"Config1",35.6814948265283
18,3,"Config2",210775.128052104
18,4,"Config1",19.4010993535883
18,4,"Config2",225532.300480383
18,5,"Config1",21.7216139766675
18,5,"Config2",8794.80957258142
18,6,"Config1",22.62735396164
18,6,"Config2",24490.056885966
18,7,"Config1",21.9994293189325
18,7,"Config2",92795.4783955277
18,8,"Config1",20.3967697296782
18,8,"Config2",144126.545848606
18,9,"Config1",22.49928199346
18,9,"Config2",109704.201141191
18,10,"Config1",24.8399976633186
18,10,"Config2",34697.6433043389
24,1,"Config1",56.7553250162262
24,1,"Config2",486327.186901219
24,2,"Config1",60.8531458828406
24,2,"Config2",393934.769989418
24,3,"Config1",101.371635259251
24,3,"Config2",373074.227816687
24,4,"Config1",78.9118150657249
