"Dimensao","Repeticao","Configuracao","Fbest"
2,1,"Config1",2.57042923018491e-05
2,1,"Config2",0
2,2,"Config1",0.0210584005748688
2,2,"Config2",0
2,3,"Config1",0.000520670707648411
2,3,"Config2",0
2,4,"Config1",0.00717198924250894
2,4,"Config2",0
2,5,"Config1",0.00021932471686709
2,5,"Config2",0
2,6,"Config1",9.29087788344132e-05
2,6,"Config2",0
2,7,"Config1",0.00250172603887202
2,7,"Config2",0
2,8,"Config1",0.0111601381175037
2,8,"Config2",0
2,9,"Config1",0.0497263043532614
2,9,"Config2",0
2,10,"Config1",0.0126519747422963
2,10,"Config2",0
7,1,"Config1",736.827250185753
7,1,"Config2",1.7692153967678
7,2,"Config1",285.672981103753
7,2,"Config2",1.96479515632571
7,3,"Config1",405.614905335262
7,3,"Config2",1.0096358185213
7,4,"Config1",244.662780128016
7,4,"Config2",2.85221831165219
7,5,"Config1",1627.36864545618
7,5,"Config2",3.71985725703498
7,6,"Config1",1383.13674156157
7,6,"Config2",3.99940595505166
7,7,"Config1",730.579978973307
7,7,"Config2",2.47842723927158
7,8,"Config1",1436.16453490631
7,8,"Config2",0.851851661281962
7,9,"Config1",861.599202845502
7,9,"Config2",1.19947527322774
7,10,"Config1",734.849313600325
7,10,"Config2",1.3163250863337
13,1,"Config1",81411.7050140767
13,1,"Config2",16.2287809656821
13,2,"Config1",69107.0471277402
13,2,"Config2",266.974337716068
13,3,"Config1",93191.6749750484
13,3,"Config2",121.077157556381
13,4,"Config1",59730.6575582598
13,4,"Config2",218.337024365729
13,5,"Config1",76120.4735900219
13,5,"Config2",7571.06770376249
13,6,"Config1",50838.8158504189
13,6,"Config2",35.0467604504617
13,7,"Config1",70660.5526284281
13,7,"Config2",160.210641788821
13,8,"Config1",42238.7494582521
13,8,"Config2",52.0250090452829
13,9,"Config1",45687.8561340006
13,9,"Config2",405.083966456628
13,10,"Config1",73099.2730231393
13,10,"Config2",1372.02568298422
18,1,"Config1",230059.399757116
18,1,"Config2",1506.41416770444
18,2,"Config1",267665.059661806
18,2,"Config2",6641.79505402292
18,3,"Config1",84377.3428007896
18,3,"Config2",1543.0054106318
18,4,"Config1",176214.022987237
18,4,"Config2",2676.67704565311
18,5,"Config1",258715.936062088
18,5,"Config2",1348.48116973056
18,6,"Config1",213809.070725081
18,6,"Config2",17754.6390975711
18,7,"Config1",195001.801281034
18,7,"Config2",1387.93349532397
18,8,"Config1",142097.56660768
18,8,"Config2",9625.9454330978
18,9,"Config1",176843.02706222
18,9,"Config2",4367.94534503481
18,10,"Config1",258317.766704413
18,10,"Config2",64594.3489784834
24,1,"Config1",385814.171505276
24,1,"Config2",105564.564283851
24,2,"Config1",298658.986532841
24,2,"Config2",120418.34898651
24,3,"Config1",459068.944179211
24,3,"Config2",354866.87298795
24,4,"Config1",383092.148059414
24,4,"Config2",105123.021999321
24,5,"Config1",346097.484936919
24,5,"Config2",211970.014700927
24,6,"Config1",388896.703434851
24,6,"Config2",210709.033947238
24,7,"Config1",435212.033273006
24,7,"Config2",65457.2229827557
24,8,"Config1",298555.700977694
24,8,"Config2",213391.609741676
24,9,"Config1",407439.5627719
24,9,"Config2",89992.2245782345
24,10,"Config1",485181.587844641
24,10,"Config2",191118.061656131
29,1,"Config1",463060.266071524
29,1,"Config2",501345.787341938
29,2,"Config1",628173.477398307
29,2,"Config2",332201.685575458
29,3,"Config1",658656.464352086
29,3,"Config2",159299.218304156
29,4,"Config1",538781.710448
29,4,"Config2",133168.250556368
29,5,"Config1",548730.298699034
29,5,"Config2",493941.883811262
29,6,"Config1",683391.374907883
29,6,"Config2",354821.954586735
29,7,"Config1",542625.725754605
29,7,"Config2",320851.271386706
29,8,"Config1",557247.519055097
29,8,"Config2",213654.007952659
29,9,"Config1",463219.990653942
29,9,"Config2",185045.680856403
29,10,"Config1",590335.635239669
29,10,"Config2",297784.721581936
35,1,"Config1",718593.793341016
35,1,"Config2",550701.958529534
35,2,"Config1",728010.382323353
35,2,"Config2",900555.675634911
35,3,"Config1",1026148.82348859
35,3,"Config2",718825.167507384
35,4,"Config1",863981.859411387
35,4,"Config2",515266.219138676
35,5,"Config1",746197.837790962
35,5,"Config2",409105.214166667
35,6,"Config1",857355.28766166
35,6,"Config2",497836.691231125
35,7,"Config1",560154.447618723
35,7,"Config2",336152.006606144
35,8,"Config1",804748.307235355
35,8,"Config2",520232.462142497
35,9,"Config1",965808.307683348
35,9,"Config2",960209.512715942
35,10,"Config1",710761.952643971
35,10,"Config2",703310.781856895
40,1,"Config1",1186948.94633034
40,1,"Config2",842884.59682157
40,2,"Config1",1173739.96761617
40,2,"Config2",859499.600826846
40,3,"Config1",1196315.08550619
40,3,"Config2",1179129.76046536
40,4,"Config1",612933.632835498
40,4,"Config2",693366.364385723
40,5,"Config1",1137591.82422081
40,5,"Config2",1473138.16440469
40,6,"Config1",971407.654645489
40,6,"Config2",869843.815056319
40,7,"Config1",1128321.73371602
40,7,"Config2",1191907.89431871
40,8,"Config1",1006183.25561729
40,8,"Config2",461760.826177463
40,9,"Config1",1097745.49103171
40,9,"Config2",662503.506457795
40,10,"Config1",1035079.77914762
40,10,"Config2",1136134.96309178
46,1,"Config1",1427736.15485722
46,1,"Config2",1310962.24696035
46,2,"Config1",1102357.62434017
46,2,"Config2",2943910.63541108
46,3,"Config1",1284503.92246575
46,3,"Config2",865112.87037061
46,4,"Config1",1290706.73453816
46,4,"Config2",2483860.1232918
46,5,"Config1",1097776.63708596
46,5,"Config2",1151354.2412106
46,6,"Config1",1443677.72645917
46,6,"Config2",2143754.98838882
46,7,"Config1",1556136.39662994
46,7,"Config2",900970.931581205
46,8,"Config1",1367032.87382731
46,8,"Config2",1401182.56280061
46,9,"Config1",1283733.57320429
46,9,"Config2",1247095.76265458
46,10,"Config1",889458.353075488
46,10,"Config2",2965558.56358267
51,1,"Config1",1697589.04112286
51,1,"Config2",1603398.18097532
51,2,"Config1",1354587.32376915
51,2,"Config2",1422619.36582726
51,3,"Config1",1478922.72897978
51,3,"Config2",2754833.7146264
51,4,"Config1",1720044.8148433
51,4,"Config2",1980306.95479324
51,5,"Config1",1450181.50700902
51,5,"Config2",2814755.44930344
51,6,"Config1",1667432.50667234
51,6,"Config2",1324771.3974816
51,7,"Config1",1513488.02993897
51,7,"Config2",3119397.25436308
51,8,"Config1",1573720.8526277
51,8,"Config2",1153758.17710714
51,9,"Config1",1539318.82067246
