"Dimensao","Repeticao","Configuracao","Fbest"
2,1,"Config1",0.000943939731057741
2,1,"Config2",0
2,2,"Config1",0.119737671876092
2,2,"Config2",0
2,3,"Config1",0.000102637506287284
2,3,"Config2",0
2,4,"Config1",4.65091146389575e-05
2,4,"Config2",0
2,5,"Config1",0.000942490044387307
2,5,"Config2",0
2,6,"Config1",5.38168000510166e-05
2,6,"Config2",0
2,7,"Config1",0.0019051392103141
2,7,"Config2",0
2,8,"Config1",0.00128275053546104
2,8,"Config2",0
2,9,"Config1",0.000138352438526313
2,9,"Config2",0
2,10,"Config1",0.0749201865721472
2,10,"Config2",0
2,11,"Config1",0.00491987476851093
2,11,"Config2",0
2,12,"Config1",0.000204988175877009
2,12,"Config2",0
2,13,"Config1",0.0237596227921663
2,13,"Config2",0
2,14,"Config1",2.6438107973108e-05
2,14,"Config2",0
2,15,"Config1",0.00132453580946937
2,15,"Config2",0
2,16,"Config1",0.0034171110023926
2,16,"Config2",0
2,17,"Config1",0.0814930060014799
2,17,"Config2",0
2,18,"Config1",0.000155555662148618
2,18,"Config2",0
2,19,"Config1",0.000288785196526683
2,19,"Config2",0
2,20,"Config1",0.000425362741749463
2,20,"Config2",3.15544362088405e-30
2,21,"Config1",0.00197065743417451
2,21,"Config2",0
2,22,"Config1",2.2496270485702e-05
2,22,"Config2",0
2,23,"Config1",0.00123506686175849
2,23,"Config2",0
7,1,"Config1",534.9728524091
7,1,"Config2",4.66585766692977
7,2,"Config1",816.339108276585
7,2,"Config2",1.94513194804311
7,3,"Config1",816.243678702461
7,3,"Config2",4.76984917668934
7,4,"Config1",889.703400349693
7,4,"Config2",0.00196981337059228
7,5,"Config1",266.531856108671
7,5,"Config2",0.189939409782548
7,6,"Config1",522.684792428622
7,6,"Config2",0.675810940960271
7,7,"Config1",417.036671757789
7,7,"Config2",1.63350191721553
7,8,"Config1",731.191837507241
7,8,"Config2",1.2119328025292
7,9,"Config1",1623.15013314549
7,9,"Config2",0.575952396279123
13,1,"Config1",18980.4265614365
13,1,"Config2",104.21785337669
13,2,"Config1",49305.7756750035
13,2,"Config2",17.2711244709058
13,3,"Config1",19571.7202013712
13,3,"Config2",272.258744655165
13,4,"Config1",80220.1297706853
13,4,"Config2",233.898530260767
13,5,"Config1",117867.046249982
13,5,"Config2",302.597299632792
13,6,"Config1",60717.6080731618
13,6,"Config2",929.039017545208
13,7,"Config1",70678.8308521841
13,7,"Config2",55.2694521153254
18,1,"Config1",278408.328087089
18,1,"Config2",7079.46329607185
18,2,"Config1",177293.799342702
18,2,"Config2",19368.2290701498
18,3,"Config1",200852.271629831
18,3,"Config2",15042.1827328626
18,4,"Config1",199973.507884505
