"Dimensao","Repeticao","Configuracao","Fbest"
2,1,"Config1",0
2,1,"Config2",475.957809019157
2,2,"Config1",0
2,2,"Config2",1.03605447623282
2,3,"Config1",0
2,3,"Config2",18.9123926920535
2,4,"Config1",0
2,4,"Config2",87.8714049203816
2,5,"Config1",0
2,5,"Config2",0.157498256775734
2,6,"Config1",0
2,6,"Config2",1.28571438970877
2,7,"Config1",0
2,7,"Config2",18.141765101613
2,8,"Config1",0
2,8,"Config2",11.1873307908413
2,9,"Config1",0
2,9,"Config2",4.87785916502438
2,10,"Config1",0
2,10,"Config2",18.9058772467547
12,1,"Config1",9.04445033399898
12,1,"Config2",2816.67530639664
12,2,"Config1",9.7067273016495
12,2,"Config2",39622.6188578983
12,3,"Config1",8.10935107825947
12,3,"Config2",531.750643299639
12,4,"Config1",7.5624622235825
12,4,"Config2",3157.41146586865
12,5,"Config1",8.73256459361156
12,5,"Config2",1336.22602931717
12,6,"Config1",8.49704241715039
12,6,"Config2",8847.31911894621
12,7,"Config1",10.290758654656
12,7,"Config2",25878.2307852363
12,8,"Config1",9.02229977045848
12,8,"Config2",5111.65374256723
12,9,"Config1",8.67602246210802
12,9,"Config2",17732.5448161146
12,10,"Config1",8.17070123918047
12,10,"Config2",12854.5922543712
22,1,"Config1",29.7593037000774
22,1,"Config2",167756.130070879
22,2,"Config1",46.4539838199432
22,2,"Config2",119293.239887349
22,3,"Config1",43.0913987285187
22,3,"Config2",501304.996249704
22,4,"Config1",48.4397740334206
22,4,"Config2",282702.947384024
22,5,"Config1",57.3139275110471
22,5,"Config2",95285.6002929965
22,6,"Config1",67.6157867776896
22,6,"Config2",151847.039475375
22,7,"Config1",92.6908780357447
22,7,"Config2",48376.1343201164
22,8,"Config1",48.9112479669445
22,8,"Config2",337564.534502989
22,9,"Config1",38.5584736036555
22,9,"Config2",176051.45742669
22,10,"Config1",37.3387407254592
22,10,"Config2",186659.885710543
32,1,"Config1",260.044158245219
32,1,"Config2",764725.566253077
32,2,"Config1",167.407248871578
32,2,"Config2",746367.315617292
32,3,"Config1",259.851511520368
32,3,"Config2",866624.162360933
32,4,"Config1",267.779704409186
32,4,"Config2",734860.858947943
32,5,"Config1",327.433435167141
32,5,"Config2",555478.679925685
32,6,"Config1",225.401071496483
32,6,"Config2",970650.501368638
32,7,"Config1",210.602094927699
32,7,"Config2",850785.499124908
32,8,"Config1",323.147380278228
32,8,"Config2",836359.375666343
32,9,"Config1",245.661280361355
32,9,"Config2",908255.818972151
32,10,"Config1",316.838658192644
32,10,"Config2",895309.948500378
42,1,"Config1",933.130461982809
42,1,"Config2",1550401.85714532
42,2,"Config1",784.868886493662
42,2,"Config2",1439971.4771255
42,3,"Config1",784.090345859304
42,3,"Config2",1713685.93534642
42,4,"Config1",815.177451354848
42,4,"Config2",1584207.9185395
42,5,"Config1",717.375916570488
42,5,"Config2",1521981.70549684
42,6,"Config1",646.545344642639
42,6,"Config2",828284.917451992
42,7,"Config1",812.990334235745
42,7,"Config2",1166695.33909248
42,8,"Config1",561.25940365554
42,8,"Config2",1278880.02665126
42,9,"Config1",959.050576585189
42,9,"Config2",1662878.27865556
42,10,"Config1",710.055245876017
42,10,"Config2",1696144.38323404
52,1,"Config1",2105.4385105002
52,1,"Config2",2210224.03771773
52,2,"Config1",1423.6016327941
52,2,"Config2",2661038.60945356
52,3,"Config1",1981.88420233638
52,3,"Config2",1961811.90177418
52,4,"Config1",2212.74103565453
52,4,"Config2",2228635.24548065
52,5,"Config1",1694.22342096017
52,5,"Config2",1925512.01721829
